PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Ancestry
2.517683057,5.464282969,9.067873352,-4.965928037,-0.741936522,0.039784801,0.573279018,-0.216917916,2.454822974,-0.671273925,Unknown
6.077012243,1.032867412,-5.795882973,-3.490063931,-0.600204382,-0.120802591,1.243766873,1.821390045,-1.173053283,2.442466571,Unknown
1.016944711,-2.913298742,0.907702301,1.233579657,-1.983452421,1.605964058,2.674997561,-0.732921215,-2.157438136,-0.671273925,Unknown
-10.86092614,2.545077149,0.023950262,-1.474450438,0.372285586,-2.609953841,-2.794091899,1.264746781,-3.974643956,-0.671273925,Unknown
4.790262421,3.621650491,-1.442220918,5.45990697,-0.864235162,-2.591184793,-0.062762347,0.515344103,0.228729031,-0.671273925,Unknown
2.969641789,-1.173198767,-4.293486226,-2.801788275,1.50931155,1.02770181,0.169934137,0.459359892,0.495339143,2.442466571,Mexican
3.172925998,-0.425971633,-3.490243037,-3.418525192,-0.389060687,0.240054183,-0.077787308,-0.817963589,-0.415591322,0.885596323,Mexican
3.342678277,-2.083637479,-1.710725637,-0.895151137,1.434932748,-0.858993604,-0.815311272,2.595383704,-0.466958733,2.442466571,Mexican
2.244606637,-0.219568283,-3.941732698,-1.818651805,-0.744929408,0.607712927,-1.376834271,-1.418233482,0.111741661,0.885596323,Mexican
2.863235831,-2.815050859,-1.663398279,-1.087715413,-0.412159786,0.026362361,-2.119324557,0.297408668,2.049079002,0.885596323,Mexican
2.937617597,-2.07051029,-4.197592091,-3.108136555,-0.534254288,-0.452438316,-0.150093407,-2.136601488,0.802672541,-0.671273925,Mexican
2.155463605,-1.897189585,-1.300517182,-0.509529747,0.998782796,-1.23264399,1.860149001,-1.498357483,0.458165294,-0.671273925,Mexican
3.195793323,-1.329949474,-1.323796925,-0.661579252,-1.059380241,-0.873642057,-1.408362547,0.179748232,0.758885959,2.442466571,Mexican
3.079770073,-0.842690944,-2.642627852,-2.014781293,-0.866785224,-0.93175228,1.637152683,0.859096884,-0.123691193,-0.671273925,Mexican
