PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Ancestry
-10.90117144,0.798743345,-1.143300964,-1.070960009,11.85639581,-2.265965399,4.536404701,1.519959126,-2.214294195,-0.671273925,African
-9.990054297,1.416821349,-0.729626106,-0.443620754,10.41859419,0.44351371,2.640658887,-4.637745825,3.351628779,-0.671273925,African
-9.345388445,2.913053602,-0.921420784,0.029172626,10.67261467,-2.052552285,5.140475582,-1.451096013,0.444182864,-0.671273925,African
-11.2215074,1.733021061,-2.339816764,0.045786048,13.1950875,-3.068897297,2.863433874,-2.259194382,2.374566476,-0.671273925,African
-10.17515829,2.066307063,-0.785492616,-0.632400445,7.461272082,-1.643509092,0.715258231,-3.982751555,0.098680781,-0.671273925,African
-13.31992242,2.737273362,-1.532659031,0.058068544,-2.660751875,-0.550663024,2.141832367,-2.007177304,1.670643986,-0.671273925,African
-10.44169213,0.872937537,-0.100213953,0.519791326,0.094731956,0.764297776,-4.658872392,3.438304327,1.630509664,2.442466571,African
-9.218514509,1.758892098,-0.578552353,-0.937131202,1.373940452,-1.62012629,0.919812475,-1.998084061,1.592814334,-0.671273925,African
-12.673631,3.015143961,-2.100390149,-0.517233089,1.116705887,1.096178869,-3.240629907,2.39449918,0.251877547,0.885596323,African
-8.342017433,3.451908119,-1.6689321559999999,-0.158435218,-1.710343582,0.813721929,-4.333145837,0.234331624,-0.549882983,0.885596323,African
-10.00354586,5.123690809,-0.941167859,-0.107404688,0.954424411,-3.093075065,-0.783159977,3.908338761,-0.586799913,0.885596323,African
-9.927064519,1.051759512,-3.225099329,-1.296031613,-3.038653364,4.477170342,0.789175627,-0.965553189,3.592118429,-0.671273925,African
-10.25617439,3.971784407,-2.110359934,-0.180311866,-0.622544214,1.981484299,1.543862414,1.963172052,-0.953001214,-0.671273925,African
-8.608074752,2.431557033,-1.526449966,0.361928942,1.653533923,-3.75090431,-0.400825647,-1.933118406,0.512476879,-0.671273925,African
-11.95794075,3.764007528,-1.823577195,-1.519007607,-0.68268394,2.596575651,-4.346790467,1.480340307,1.94792034,-0.671273925,African
-11.98361742,3.173192919,-0.842081561,-1.174821788,-1.287207348,1.556872884,-4.524589905,1.570644171,-1.819484073,-0.671273925,African
-9.421678436,1.922828125,-1.542939093,1.356596546,-1.738172369,-0.503768923,-2.896540581,0.12631027,-3.695712468,-0.671273925,African
-12.21129711,3.956428483,-2.88478883,-0.114107625,-0.872094538,6.004056581,-1.745879504,1.371193077,1.308170489,-0.671273925,African
-10.41113399,2.100081474,-0.757817407,0.740436579,0.048281438,-2.188839431,-2.490498267,0.159456526,-0.990683496,0.885596323,African
-11.28466346,0.043077027,1.021742955,-1.442500212,-3.031798226,-2.870877848,1.330861779,-1.639410679,1.865175872,-0.671273925,African
-8.9260657,2.385559249,-1.671946356,1.640306627,0.1741985,1.019905649,-0.421816403,1.276540586,1.695470075,-0.671273925,African
-9.347072388,1.643278738,-1.309004998,0.194076023,-2.172088128,1.464162571,2.77214001,0.085883165,2.923619534,-0.671273925,African
-9.577724232,4.238572043,-1.291087351,-0.71772194,-3.738618722,-3.377981265,1.202177337,-3.522282187,1.682146299,-0.671273925,African
-10.22347903,2.5107983,-1.109264701,-0.210905655,1.33519826,-2.435248315,-4.303594225,1.027614529,-0.754387461,-0.671273925,African
-9.798544021,1.771683102,-2.223148512,1.575978103,-2.693924778,4.389323029,0.37087521,0.803348225,3.739434425,-0.671273925,African
1.910760489,-3.743170517,0.756418093,-0.755124498,0.373303657,2.335423515,1.989340874,-2.390737703,-2.277601126,2.442466571,European
-0.186356008,-6.272693105,2.262230044,0.202134913,0.161402508,1.847595091,0.368107131,-3.154067197,2.907133413,-0.671273925,European
2.741658593,-4.256118479,1.222172006,0.657849528,-2.476184552,-0.051945476,1.930801655,-0.988847976,0.554478448,0.885596323,European
1.051695091,-4.852163851,2.712638883,0.53264889,0.658566524,-0.39044706,-1.425462945,0.585617459,0.558500412,-0.671273925,European
1.06095743,-3.728459516,1.12182473,-0.01028615,0.973188393,-0.491129475,0.915537604,-0.847424649,-2.197456348,-0.671273925,European
0.819412594,-4.014775795,1.383260692,-1.22151448,-0.436866894,1.157714105,-1.347121892,-1.129659522,-2.126506708,-0.671273925,European
